first_field;image_html;portuguese;portuguese_audio_html
message - portuguese;"<img src=""vocab-message.jpg"">";mensagem;[sound:vocab-portuguese-mensagem.mp3]
metal - portuguese;"<img src=""vocab-metal.jpg"">";metal;[sound:vocab-portuguese-metal.mp3]
meter - portuguese;"<img src=""vocab-meter.jpg"">";metro;[sound:vocab-portuguese-metro.mp3]
milk - portuguese;"<img src=""vocab-milk.jpg"">";leite;[sound:vocab-portuguese-leite.mp3]
million - portuguese;"<img src=""vocab-million.jpg"">";milhão;[sound:vocab-portuguese-milhão.mp3]
minute - portuguese;"<img src=""vocab-minute.jpg"">";minuto;[sound:vocab-portuguese-minuto.mp3]
mix - portuguese;"<img src=""vocab-mix.jpg"">";misturar;[sound:vocab-portuguese-misturar.mp3]
Monday - portuguese;"<img src=""vocab-Monday.jpg"">";segunda-feira;[sound:vocab-portuguese-segunda-feira.mp3]
money - portuguese;"<img src=""vocab-money.jpg"">";dinheiro;[sound:vocab-portuguese-dinheiro.mp3]
monkey - portuguese;"<img src=""vocab-monkey.jpg"">";macaco;[sound:vocab-portuguese-macaco.mp3]
month - portuguese;"<img src=""vocab-month.jpg"">";mês;[sound:vocab-portuguese-mês.mp3]
moon - portuguese;"<img src=""vocab-moon.jpg"">";lua;[sound:vocab-portuguese-lua.mp3]
morning - portuguese;"<img src=""vocab-morning.jpg"">";manhã;[sound:vocab-portuguese-manhã.mp3]
mother - portuguese;"<img src=""vocab-mother.jpg"">";mãe;[sound:vocab-portuguese-mãe.mp3]
mountain - portuguese;"<img src=""vocab-mountain.jpg"">";montanha;[sound:vocab-portuguese-montanha.mp3]
mouse - portuguese;"<img src=""vocab-mouse.jpg"">";mouse;[sound:vocab-portuguese-mouse.mp3]
mouth - portuguese;"<img src=""vocab-mouth.jpg"">";boca;[sound:vocab-portuguese-boca.mp3]
movie - portuguese;"<img src=""vocab-movie.jpg"">";filme;[sound:vocab-portuguese-filme.mp3]
murder - portuguese;"<img src=""vocab-murder.jpg"">";assassinato;[sound:vocab-portuguese-assassinato.mp3]
muscle - portuguese;"<img src=""vocab-muscle.jpg"">";músculo;[sound:vocab-portuguese-músculo.mp3]
music - portuguese;"<img src=""vocab-music.jpg"">";música;[sound:vocab-portuguese-música.mp3]
nail - portuguese;"<img src=""vocab-nail.jpg"">";prego;[sound:vocab-portuguese-prego.mp3]
narrow - portuguese;"<img src=""vocab-narrow.jpg"">";estreito;[sound:vocab-portuguese-estreito.mp3]
nature - portuguese;"<img src=""vocab-nature.jpg"">";natureza;[sound:vocab-portuguese-natureza.mp3]
near - portuguese;"<img src=""vocab-near.jpg"">";perto;[sound:vocab-portuguese-perto.mp3]
neck - portuguese;"<img src=""vocab-neck.jpg"">";pescoço;[sound:vocab-portuguese-pescoço.mp3]
needle - portuguese;"<img src=""vocab-needle.jpg"">";agulha;[sound:vocab-portuguese-agulha.mp3]
neighbor - portuguese;"<img src=""vocab-neighbor.jpg"">";vizinho;[sound:vocab-portuguese-vizinho.mp3]
nerve - portuguese;"<img src=""vocab-nerve.jpg"">";nervo;[sound:vocab-portuguese-nervo.mp3]
net - portuguese;"<img src=""vocab-net.jpg"">";rede;[sound:vocab-portuguese-rede.mp3]
network - portuguese;"<img src=""vocab-network.jpg"">";rede;[sound:vocab-portuguese-rede.mp3]
new - portuguese;"<img src=""vocab-new.jpg"">";novo;[sound:vocab-portuguese-novo.mp3]
newspaper - portuguese;"<img src=""vocab-newspaper.jpg"">";jornal;[sound:vocab-portuguese-jornal.mp3]
night - portuguese;"<img src=""vocab-night.jpg"">";noite;[sound:vocab-portuguese-noite.mp3]
nine - portuguese;"<img src=""vocab-nine.jpg"">";nove;[sound:vocab-portuguese-nove.mp3]
nineteen - portuguese;"<img src=""vocab-nineteen.jpg"">";dezenove;[sound:vocab-portuguese-dezenove.mp3]
ninety - portuguese;"<img src=""vocab-ninety.jpg"">";noventa;[sound:vocab-portuguese-noventa.mp3]
no - portuguese;"<img src=""vocab-no.jpg"">";não;[sound:vocab-portuguese-não.mp3]
north - portuguese;"<img src=""vocab-north.jpg"">";norte;[sound:vocab-portuguese-norte.mp3]
nose - portuguese;"<img src=""vocab-nose.jpg"">";nariz;[sound:vocab-portuguese-nariz.mp3]
note - portuguese;"<img src=""vocab-note.jpg"">";nota;[sound:vocab-portuguese-nota.mp3]
November - portuguese;"<img src=""vocab-November.jpg"">";novembro;[sound:vocab-portuguese-novembro.mp3]
nuclear - portuguese;"<img src=""vocab-nuclear.jpg"">";nuclear;[sound:vocab-portuguese-nuclear.mp3]
number - portuguese;"<img src=""vocab-number.jpg"">";número;[sound:vocab-portuguese-número.mp3]
nut - portuguese;"<img src=""vocab-nut.jpg"">";noz;[sound:vocab-portuguese-noz.mp3]
ocean - portuguese;"<img src=""vocab-ocean.jpg"">";oceano;[sound:vocab-portuguese-oceano.mp3]
October - portuguese;"<img src=""vocab-October.jpg"">";outubro;[sound:vocab-portuguese-outubro.mp3]
office - portuguese;"<img src=""vocab-office.jpg"">";escritório;[sound:vocab-portuguese-escritório.mp3]
oil - portuguese;"<img src=""vocab-oil.jpg"">";óleo;[sound:vocab-portuguese-óleo.mp3]
old (people) - portuguese;"<img src=""vocab-old (people).jpg"">";velho;[sound:vocab-portuguese-velho.mp3]
old (things) - portuguese;"<img src=""vocab-old (things).jpg"">";velho;[sound:vocab-portuguese-velho.mp3]
one - portuguese;"<img src=""vocab-one.jpg"">";um;[sound:vocab-portuguese-um.mp3]
open - portuguese;"<img src=""vocab-open.jpg"">";abrir;[sound:vocab-portuguese-abrir.mp3]
orange (color) - portuguese;"<img src=""vocab-orange (color).jpg"">";laranja;[sound:vocab-portuguese-laranja.mp3]
orange (fruit) - portuguese;"<img src=""vocab-orange (fruit).jpg"">";laranja;[sound:vocab-portuguese-laranja.mp3]
outside - portuguese;"<img src=""vocab-outside.jpg"">";fora;[sound:vocab-portuguese-fora.mp3]
oven - portuguese;"<img src=""vocab-oven.jpg"">";forno;[sound:vocab-portuguese-forno.mp3]
page - portuguese;"<img src=""vocab-page.jpg"">";página;[sound:vocab-portuguese-página.mp3]
pain - portuguese;"<img src=""vocab-pain.jpg"">";dor;[sound:vocab-portuguese-dor.mp3]
paint - portuguese;"<img src=""vocab-paint.jpg"">";pintar;[sound:vocab-portuguese-pintar.mp3]
pants - portuguese;"<img src=""vocab-pants.jpg"">";calça;[sound:vocab-portuguese-calça.mp3]
paper - portuguese;"<img src=""vocab-paper.jpg"">";papel;[sound:vocab-portuguese-papel.mp3]
parent - portuguese;"<img src=""vocab-parent.jpg"">";pai;[sound:vocab-portuguese-pai.mp3]
park - portuguese;"<img src=""vocab-park.jpg"">";parque;[sound:vocab-portuguese-parque.mp3]
pass - portuguese;"<img src=""vocab-pass.jpg"">";passar;[sound:vocab-portuguese-passar.mp3]
patient - portuguese;"<img src=""vocab-patient.jpg"">";paciente;[sound:vocab-portuguese-paciente.mp3]
pattern - portuguese;"<img src=""vocab-pattern.jpg"">";padrão;[sound:vocab-portuguese-padrão.mp3]
pay - portuguese;"<img src=""vocab-pay.jpg"">";pagar;[sound:vocab-portuguese-pagar.mp3]
peace - portuguese;"<img src=""vocab-peace.jpg"">";paz;[sound:vocab-portuguese-paz.mp3]
pen - portuguese;"<img src=""vocab-pen.jpg"">";caneta;[sound:vocab-portuguese-caneta.mp3]
pencil - portuguese;"<img src=""vocab-pencil.jpg"">";lápis;[sound:vocab-portuguese-lápis.mp3]
person - portuguese;"<img src=""vocab-person.jpg"">";pessoa;[sound:vocab-portuguese-pessoa.mp3]
photograph - portuguese;"<img src=""vocab-photograph.jpg"">";fotografia;[sound:vocab-portuguese-fotografia.mp3]
picture - portuguese;"<img src=""vocab-picture.jpg"">";desenho;[sound:vocab-portuguese-desenho.mp3]
piece - portuguese;"<img src=""vocab-piece.jpg"">";peça;[sound:vocab-portuguese-peça.mp3]
pig - portuguese;"<img src=""vocab-pig.jpg"">";porco;[sound:vocab-portuguese-porco.mp3]
pin - portuguese;"<img src=""vocab-pin.jpg"">";alfinete;[sound:vocab-portuguese-alfinete.mp3]
pink - portuguese;"<img src=""vocab-pink.jpg"">";rosa;[sound:vocab-portuguese-rosa.mp3]
pipe - portuguese;"<img src=""vocab-pipe.jpg"">";tubo;[sound:vocab-portuguese-tubo.mp3]
plane - portuguese;"<img src=""vocab-plane.jpg"">";avião;[sound:vocab-portuguese-avião.mp3]
plant - portuguese;"<img src=""vocab-plant.jpg"">";planta;[sound:vocab-portuguese-planta.mp3]
plastic - portuguese;"<img src=""vocab-plastic.jpg"">";plástico;[sound:vocab-portuguese-plástico.mp3]
plate - portuguese;"<img src=""vocab-plate.jpg"">";prato;[sound:vocab-portuguese-prato.mp3]
play - portuguese;"<img src=""vocab-play.jpg"">";brincar;[sound:vocab-portuguese-brincar.mp3]
player - portuguese;"<img src=""vocab-player.jpg"">";jogador;[sound:vocab-portuguese-jogador.mp3]
pocket - portuguese;"<img src=""vocab-pocket.jpg"">";bolso;[sound:vocab-portuguese-bolso.mp3]
poison - portuguese;"<img src=""vocab-poison.jpg"">";veneno;[sound:vocab-portuguese-veneno.mp3]
police - portuguese;"<img src=""vocab-police.jpg"">";polícia;[sound:vocab-portuguese-polícia.mp3]
pool - portuguese;"<img src=""vocab-pool.jpg"">";piscina;[sound:vocab-portuguese-piscina.mp3]
poor - portuguese;"<img src=""vocab-poor.jpg"">";pobre;[sound:vocab-portuguese-pobre.mp3]
pork - portuguese;"<img src=""vocab-pork.jpg"">";carne de porco;[sound:vocab-portuguese-carne de porco.mp3]
pot - portuguese;"<img src=""vocab-pot.jpg"">";panela;[sound:vocab-portuguese-panela.mp3]
potato - portuguese;"<img src=""vocab-potato.jpg"">";batata;[sound:vocab-portuguese-batata.mp3]
pray - portuguese;"<img src=""vocab-pray.jpg"">";rezar;[sound:vocab-portuguese-rezar.mp3]
president - portuguese;"<img src=""vocab-president.jpg"">";presidente;[sound:vocab-portuguese-presidente.mp3]
price - portuguese;"<img src=""vocab-price.jpg"">";preço;[sound:vocab-portuguese-preço.mp3]
priest - portuguese;"<img src=""vocab-priest.jpg"">";sacerdote;[sound:vocab-portuguese-sacerdote.mp3]
prison - portuguese;"<img src=""vocab-prison.jpg"">";prisão;[sound:vocab-portuguese-prisão.mp3]
program - portuguese;"<img src=""vocab-program.jpg"">";programa;[sound:vocab-portuguese-programa.mp3]
pull - portuguese;"<img src=""vocab-pull.jpg"">";puxar;[sound:vocab-portuguese-puxar.mp3]
push - portuguese;"<img src=""vocab-push.jpg"">";empurrar;[sound:vocab-portuguese-empurrar.mp3]
put - portuguese;"<img src=""vocab-put.jpg"">";colocar;[sound:vocab-portuguese-colocar.mp3]
queen - portuguese;"<img src=""vocab-queen.jpg"">";rainha;[sound:vocab-portuguese-rainha.mp3]
quiet - portuguese;"<img src=""vocab-quiet.jpg"">";calmo;[sound:vocab-portuguese-calmo.mp3]
race (competition) - portuguese;"<img src=""vocab-race (competition).jpg"">";corrida;[sound:vocab-portuguese-corrida.mp3]
race (people) - portuguese;"<img src=""vocab-race (people).jpg"">";raça;[sound:vocab-portuguese-raça.mp3]
radio - portuguese;"<img src=""vocab-radio.jpg"">";rádio;[sound:vocab-portuguese-rádio.mp3]
rail - portuguese;"<img src=""vocab-rail.jpg"">";trilho;[sound:vocab-portuguese-trilho.mp3]
rain - portuguese;"<img src=""vocab-rain.jpg"">";chuva;[sound:vocab-portuguese-chuva.mp3]
rat - portuguese;"<img src=""vocab-rat.jpg"">";rato;[sound:vocab-portuguese-rato.mp3]
receipt - portuguese;"<img src=""vocab-receipt.jpg"">";recibo;[sound:vocab-portuguese-recibo.mp3]
red - portuguese;"<img src=""vocab-red.jpg"">";vermelho;[sound:vocab-portuguese-vermelho.mp3]
religion - portuguese;"<img src=""vocab-religion.jpg"">";religião;[sound:vocab-portuguese-religião.mp3]
remember - portuguese;"<img src=""vocab-remember.jpg"">";lembrar;[sound:vocab-portuguese-lembrar.mp3]
reporter - portuguese;"<img src=""vocab-reporter.jpg"">";repórter;[sound:vocab-portuguese-repórter.mp3]
restaurant - portuguese;"<img src=""vocab-restaurant.jpg"">";restaurante;[sound:vocab-portuguese-restaurante.mp3]
rice - portuguese;"<img src=""vocab-rice.jpg"">";arroz;[sound:vocab-portuguese-arroz.mp3]
rich - portuguese;"<img src=""vocab-rich.jpg"">";rico;[sound:vocab-portuguese-rico.mp3]
right - portuguese;"<img src=""vocab-right.jpg"">";direita;[sound:vocab-portuguese-direita.mp3]
ring - portuguese;"<img src=""vocab-ring.jpg"">";anel;[sound:vocab-portuguese-anel.mp3]
river - portuguese;"<img src=""vocab-river.jpg"">";rio;[sound:vocab-portuguese-rio.mp3]
road - portuguese;"<img src=""vocab-road.jpg"">";via;[sound:vocab-portuguese-via.mp3]
rod - portuguese;"<img src=""vocab-rod.jpg"">";haste;[sound:vocab-portuguese-haste.mp3]
roof - portuguese;"<img src=""vocab-roof.jpg"">";telhado;[sound:vocab-portuguese-telhado.mp3]
room - portuguese;"<img src=""vocab-room.jpg"">";quarto;[sound:vocab-portuguese-quarto.mp3]
root - portuguese;"<img src=""vocab-root.jpg"">";raiz;[sound:vocab-portuguese-raiz.mp3]
run - portuguese;"<img src=""vocab-run.jpg"">";correr;[sound:vocab-portuguese-correr.mp3]
sad - portuguese;"<img src=""vocab-sad.jpg"">";triste;[sound:vocab-portuguese-triste.mp3]
sail - portuguese;"<img src=""vocab-sail.jpg"">";vela;[sound:vocab-portuguese-vela.mp3]
salt - portuguese;"<img src=""vocab-salt.jpg"">";sal;[sound:vocab-portuguese-sal.mp3]
sand - portuguese;"<img src=""vocab-sand.jpg"">";areia;[sound:vocab-portuguese-areia.mp3]
Saturday - portuguese;"<img src=""vocab-Saturday.jpg"">";sábado;[sound:vocab-portuguese-sábado.mp3]
say - portuguese;"<img src=""vocab-say.jpg"">";dizer;[sound:vocab-portuguese-dizer.mp3]
scared - portuguese;"<img src=""vocab-scared.jpg"">";assustado;[sound:vocab-portuguese-assustado.mp3]
school - portuguese;"<img src=""vocab-school.jpg"">";escola;[sound:vocab-portuguese-escola.mp3]
science - portuguese;"<img src=""vocab-science.jpg"">";ciência;[sound:vocab-portuguese-ciência.mp3]
scissors - portuguese;"<img src=""vocab-scissors.jpg"">";tesoura;[sound:vocab-portuguese-tesoura.mp3]
screen - portuguese;"<img src=""vocab-screen.jpg"">";tela;[sound:vocab-portuguese-tela.mp3]
screw - portuguese;"<img src=""vocab-screw.jpg"">";parafuso;[sound:vocab-portuguese-parafuso.mp3]
sea - portuguese;"<img src=""vocab-sea.jpg"">";mar;[sound:vocab-portuguese-mar.mp3]
season - portuguese;"<img src=""vocab-season.jpg"">";estação;[sound:vocab-portuguese-estação.mp3]
second (position) - portuguese;"<img src=""vocab-second (position).jpg"">";segundo;[sound:vocab-portuguese-segundo.mp3]
second (time) - portuguese;"<img src=""vocab-second (time).jpg"">";segundo;[sound:vocab-portuguese-segundo.mp3]
secretary - portuguese;"<img src=""vocab-secretary.jpg"">";secretário;[sound:vocab-portuguese-secretário.mp3]
see - portuguese;"<img src=""vocab-see.jpg"">";ver;[sound:vocab-portuguese-ver.mp3]
seed - portuguese;"<img src=""vocab-seed.jpg"">";semente;[sound:vocab-portuguese-semente.mp3]
sell - portuguese;"<img src=""vocab-sell.jpg"">";vender;[sound:vocab-portuguese-vender.mp3]
September - portuguese;"<img src=""vocab-September.jpg"">";setembro;[sound:vocab-portuguese-setembro.mp3]
seven - portuguese;"<img src=""vocab-seven.jpg"">";sete;[sound:vocab-portuguese-sete.mp3]
seventeen - portuguese;"<img src=""vocab-seventeen.jpg"">";dezessete;[sound:vocab-portuguese-dezessete.mp3]
seventy - portuguese;"<img src=""vocab-seventy.jpg"">";setenta;[sound:vocab-portuguese-setenta.mp3]
sex (action) - portuguese;"<img src=""vocab-sex (action).jpg"">";sexo;[sound:vocab-portuguese-sexo.mp3]
sex (male-female) - portuguese;"<img src=""vocab-sex (male-female).jpg"">";sexo;[sound:vocab-portuguese-sexo.mp3]
shake - portuguese;"<img src=""vocab-shake.jpg"">";sacudir;[sound:vocab-portuguese-sacudir.mp3]
shallow - portuguese;"<img src=""vocab-shallow.jpg"">";raso;[sound:vocab-portuguese-raso.mp3]
she - portuguese;"<img src=""vocab-she.jpg"">";ela;[sound:vocab-portuguese-ela.mp3]
sheep - portuguese;"<img src=""vocab-sheep.jpg"">";ovelha;[sound:vocab-portuguese-ovelha.mp3]
shelf - portuguese;"<img src=""vocab-shelf.jpg"">";prateleira;[sound:vocab-portuguese-prateleira.mp3]
ship - portuguese;"<img src=""vocab-ship.jpg"">";navio;[sound:vocab-portuguese-navio.mp3]
shirt - portuguese;"<img src=""vocab-shirt.jpg"">";camisa;[sound:vocab-portuguese-camisa.mp3]
shoes - portuguese;"<img src=""vocab-shoes.jpg"">";sapatos;[sound:vocab-portuguese-sapatos.mp3]
shoot - portuguese;"<img src=""vocab-shoot.jpg"">";atirar;[sound:vocab-portuguese-atirar.mp3]
short (length) - portuguese;"<img src=""vocab-short (length).jpg"">";curto;[sound:vocab-portuguese-curto.mp3]
short (stature) - portuguese;"<img src=""vocab-short (stature).jpg"">";baixo;[sound:vocab-portuguese-baixo.mp3]
shoulder - portuguese;"<img src=""vocab-shoulder.jpg"">";ombro;[sound:vocab-portuguese-ombro.mp3]
sick - portuguese;"<img src=""vocab-sick.jpg"">";doente;[sound:vocab-portuguese-doente.mp3]
side - portuguese;"<img src=""vocab-side.jpg"">";lado;[sound:vocab-portuguese-lado.mp3]
sign (indication) - portuguese;"<img src=""vocab-sign (indication).jpg"">";placa;[sound:vocab-portuguese-placa.mp3]
sign (write) - portuguese;"<img src=""vocab-sign (write).jpg"">";assinar;[sound:vocab-portuguese-assinar.mp3]
silver - portuguese;"<img src=""vocab-silver.jpg"">";prata;[sound:vocab-portuguese-prata.mp3]
sing - portuguese;"<img src=""vocab-sing.jpg"">";cantar;[sound:vocab-portuguese-cantar.mp3]
sink - portuguese;"<img src=""vocab-sink.jpg"">";pia;[sound:vocab-portuguese-pia.mp3]
sister - portuguese;"<img src=""vocab-sister.jpg"">";irmã;[sound:vocab-portuguese-irmã.mp3]
sit - portuguese;"<img src=""vocab-sit.jpg"">";sentar;[sound:vocab-portuguese-sentar.mp3]
six - portuguese;"<img src=""vocab-six.jpg"">";seis;[sound:vocab-portuguese-seis.mp3]
sixteen - portuguese;"<img src=""vocab-sixteen.jpg"">";dezesseis;[sound:vocab-portuguese-dezesseis.mp3]
sixty - portuguese;"<img src=""vocab-sixty.jpg"">";sessenta;[sound:vocab-portuguese-sessenta.mp3]
skin - portuguese;"<img src=""vocab-skin.jpg"">";pele;[sound:vocab-portuguese-pele.mp3]
skirt - portuguese;"<img src=""vocab-skirt.jpg"">";saia;[sound:vocab-portuguese-saia.mp3]
sky - portuguese;"<img src=""vocab-sky.jpg"">";céu;[sound:vocab-portuguese-céu.mp3]
sleep - portuguese;"<img src=""vocab-sleep.jpg"">";dormir;[sound:vocab-portuguese-dormir.mp3]
slow - portuguese;"<img src=""vocab-slow.jpg"">";lento;[sound:vocab-portuguese-lento.mp3]
small - portuguese;"<img src=""vocab-small.jpg"">";pequeno;[sound:vocab-portuguese-pequeno.mp3]
smell - portuguese;"<img src=""vocab-smell.jpg"">";cheirar;[sound:vocab-portuguese-cheirar.mp3]
smile - portuguese;"<img src=""vocab-smile.jpg"">";sorriso;[sound:vocab-portuguese-sorriso.mp3]
snake - portuguese;"<img src=""vocab-snake.jpg"">";cobra;[sound:vocab-portuguese-cobra.mp3]
snow - portuguese;"<img src=""vocab-snow.jpg"">";neve;[sound:vocab-portuguese-neve.mp3]
soap - portuguese;"<img src=""vocab-soap.jpg"">";sabonete;[sound:vocab-portuguese-sabonete.mp3]
sock - portuguese;"<img src=""vocab-sock.jpg"">";meia;[sound:vocab-portuguese-meia.mp3]
soft - portuguese;"<img src=""vocab-soft.jpg"">";suave;[sound:vocab-portuguese-suave.mp3]
soil - portuguese;"<img src=""vocab-soil.jpg"">";terra;[sound:vocab-portuguese-terra.mp3]
soldier - portuguese;"<img src=""vocab-soldier.jpg"">";soldado;[sound:vocab-portuguese-soldado.mp3]
son - portuguese;"<img src=""vocab-son.jpg"">";filho;[sound:vocab-portuguese-filho.mp3]
song - portuguese;"<img src=""vocab-song.jpg"">";canção;[sound:vocab-portuguese-canção.mp3]
sound - portuguese;"<img src=""vocab-sound.jpg"">";som;[sound:vocab-portuguese-som.mp3]
soup - portuguese;"<img src=""vocab-soup.jpg"">";sopa;[sound:vocab-portuguese-sopa.mp3]
south - portuguese;"<img src=""vocab-south.jpg"">";sul;[sound:vocab-portuguese-sul.mp3]
space - portuguese;"<img src=""vocab-space.jpg"">";espaço;[sound:vocab-portuguese-espaço.mp3]
spade - portuguese;"<img src=""vocab-spade.jpg"">";pá;[sound:vocab-portuguese-pá.mp3]
speak - portuguese;"<img src=""vocab-speak.jpg"">";falar;[sound:vocab-portuguese-falar.mp3]
sponge - portuguese;"<img src=""vocab-sponge.jpg"">";esponja;[sound:vocab-portuguese-esponja.mp3]
spoon - portuguese;"<img src=""vocab-spoon.jpg"">";colher;[sound:vocab-portuguese-colher.mp3]
sport - portuguese;"<img src=""vocab-sport.jpg"">";esporte;[sound:vocab-portuguese-esporte.mp3]
spring - portuguese;"<img src=""vocab-spring.jpg"">";primavera;[sound:vocab-portuguese-primavera.mp3]
square - portuguese;"<img src=""vocab-square.jpg"">";quadrado;[sound:vocab-portuguese-quadrado.mp3]
stain - portuguese;"<img src=""vocab-stain.jpg"">";mancha;[sound:vocab-portuguese-mancha.mp3]
stamp - portuguese;"<img src=""vocab-stamp.jpg"">";carimbo;[sound:vocab-portuguese-carimbo.mp3]
