first_field;image_html;french;french_audio_html;spanish
loud - french;"<img src=""vocab-loud.jpg"">";bruyant;[sound:vocab-french-bruyant.mp3];ruidoso
love - french;"<img src=""vocab-love.jpg"">";aimer;[sound:vocab-french-aimer.mp3];amar
low - french;"<img src=""vocab-low.jpg"">";bas;[sound:vocab-french-bas.mp3];bajo
lucky - french;"<img src=""vocab-lucky.jpg"">";chanceux;[sound:vocab-french-chanceux.mp3];suertudo
lunch - french;"<img src=""vocab-lunch.jpg"">";déjeuner;[sound:vocab-french-déjeuner.mp3];almuerzo
magazine - french;"<img src=""vocab-magazine.jpg"">";magazine;[sound:vocab-french-magazine.mp3];revista
male - french;"<img src=""vocab-male.jpg"">";masculin;[sound:vocab-french-masculin.mp3];masculino
man - french;"<img src=""vocab-man.jpg"">";homme;[sound:vocab-french-homme.mp3];hombre
manager - french;"<img src=""vocab-manager.jpg"">";directeur;[sound:vocab-french-directeur.mp3];gerente
map - french;"<img src=""vocab-map.jpg"">";carte;[sound:vocab-french-carte.mp3];mapa
March - french;"<img src=""vocab-March.jpg"">";mars;[sound:vocab-french-mars.mp3];marzo
market - french;"<img src=""vocab-market.jpg"">";marché;[sound:vocab-french-marché.mp3];mercado
marriage - french;"<img src=""vocab-marriage.jpg"">";mariage;[sound:vocab-french-mariage.mp3];matrimonio
marry - french;"<img src=""vocab-marry.jpg"">";marier;[sound:vocab-french-marier.mp3];casar
material - french;"<img src=""vocab-material.jpg"">";matériel;[sound:vocab-french-matériel.mp3];material
May - french;"<img src=""vocab-May.jpg"">";peut;[sound:vocab-french-peut.mp3];mayo
mean - french;"<img src=""vocab-mean.jpg"">";signifier;[sound:vocab-french-signifier.mp3];significar
medicine - french;"<img src=""vocab-medicine.jpg"">";médicament;[sound:vocab-french-médicament.mp3];medicina
melt - french;"<img src=""vocab-melt.jpg"">";fondre;[sound:vocab-french-fondre.mp3];derretir
message - french;"<img src=""vocab-message.jpg"">";message;[sound:vocab-french-message.mp3];mensaje
metal - french;"<img src=""vocab-metal.jpg"">";métal;[sound:vocab-french-métal.mp3];metal
meter - french;"<img src=""vocab-meter.jpg"">";mètre;[sound:vocab-french-mètre.mp3];metro
milk - french;"<img src=""vocab-milk.jpg"">";lait;[sound:vocab-french-lait.mp3];leche
million - french;"<img src=""vocab-million.jpg"">";million;[sound:vocab-french-million.mp3];millón
minute - french;"<img src=""vocab-minute.jpg"">";minute;[sound:vocab-french-minute.mp3];minuto
mix - french;"<img src=""vocab-mix.jpg"">";mélanger;[sound:vocab-french-mélanger.mp3];mezclar
Monday - french;"<img src=""vocab-Monday.jpg"">";lundi;[sound:vocab-french-lundi.mp3];lunes
money - french;"<img src=""vocab-money.jpg"">";argent;[sound:vocab-french-argent.mp3];dinero
month - french;"<img src=""vocab-month.jpg"">";mois;[sound:vocab-french-mois.mp3];mes
moon - french;"<img src=""vocab-moon.jpg"">";lune;[sound:vocab-french-lune.mp3];luna
morning - french;"<img src=""vocab-morning.jpg"">";matin;[sound:vocab-french-matin.mp3];mañana
mother - french;"<img src=""vocab-mother.jpg"">";mère;[sound:vocab-french-mère.mp3];madre
mountain - french;"<img src=""vocab-mountain.jpg"">";montagne;[sound:vocab-french-montagne.mp3];montaña
mouse - french;"<img src=""vocab-mouse.jpg"">";souris;[sound:vocab-french-souris.mp3];ratón
mouth - french;"<img src=""vocab-mouth.jpg"">";bouche;[sound:vocab-french-bouche.mp3];boca
movie - french;"<img src=""vocab-movie.jpg"">";film;[sound:vocab-french-film.mp3];película
murder - french;"<img src=""vocab-murder.jpg"">";meurtre;[sound:vocab-french-meurtre.mp3];asesinato
music - french;"<img src=""vocab-music.jpg"">";musique;[sound:vocab-french-musique.mp3];música
narrow - french;"<img src=""vocab-narrow.jpg"">";étroit;[sound:vocab-french-étroit.mp3];estrecho
nature - french;"<img src=""vocab-nature.jpg"">";nature;[sound:vocab-french-nature.mp3];naturaleza
near - french;"<img src=""vocab-near.jpg"">";proche;[sound:vocab-french-proche.mp3];cerca
neck - french;"<img src=""vocab-neck.jpg"">";cou;[sound:vocab-french-cou.mp3];cuello
needle - french;"<img src=""vocab-needle.jpg"">";aiguille;[sound:vocab-french-aiguille.mp3];aguja
neighbor - french;"<img src=""vocab-neighbor.jpg"">";voisin;[sound:vocab-french-voisin.mp3];vecino
network - french;"<img src=""vocab-network.jpg"">";réseau;[sound:vocab-french-réseau.mp3];red
new - french;"<img src=""vocab-new.jpg"">";nouveau;[sound:vocab-french-nouveau.mp3];nuevo
newspaper - french;"<img src=""vocab-newspaper.jpg"">";journal;[sound:vocab-french-journal.mp3];periódico
night - french;"<img src=""vocab-night.jpg"">";nuit;[sound:vocab-french-nuit.mp3];noche
nine - french;"<img src=""vocab-nine.jpg"">";neuf;[sound:vocab-french-neuf.mp3];nueve
nineteen - french;"<img src=""vocab-nineteen.jpg"">";dix-neuf;[sound:vocab-french-dix-neuf.mp3];diecinueve
ninety - french;"<img src=""vocab-ninety.jpg"">";quatre-vingt-dix;[sound:vocab-french-quatre-vingt-dix.mp3];noventa
no - french;"<img src=""vocab-no.jpg"">";non;[sound:vocab-french-non.mp3];no
north - french;"<img src=""vocab-north.jpg"">";nord;[sound:vocab-french-nord.mp3];norte
nose - french;"<img src=""vocab-nose.jpg"">";nez;[sound:vocab-french-nez.mp3];nariz
note - french;"<img src=""vocab-note.jpg"">";note;[sound:vocab-french-note.mp3];nota
November - french;"<img src=""vocab-November.jpg"">";novembre;[sound:vocab-french-novembre.mp3];noviembre
nuclear - french;"<img src=""vocab-nuclear.jpg"">";nucléaire;[sound:vocab-french-nucléaire.mp3];nuclear
number - french;"<img src=""vocab-number.jpg"">";numéro;[sound:vocab-french-numéro.mp3];número
ocean - french;"<img src=""vocab-ocean.jpg"">";océan;[sound:vocab-french-océan.mp3];océano
October - french;"<img src=""vocab-October.jpg"">";octobre;[sound:vocab-french-octobre.mp3];octubre
office - french;"<img src=""vocab-office.jpg"">";bureau;[sound:vocab-french-bureau.mp3];oficina
oil - french;"<img src=""vocab-oil.jpg"">";pétrole;[sound:vocab-french-pétrole.mp3];aceite
old (people) - french;"<img src=""vocab-old (people).jpg"">";vieille;[sound:vocab-french-vieille.mp3];viejo
old (things) - french;"<img src=""vocab-old (things).jpg"">";vieille;[sound:vocab-french-vieille.mp3];viejo
one - french;"<img src=""vocab-one.jpg"">";une;[sound:vocab-french-une.mp3];uno
open - french;"<img src=""vocab-open.jpg"">";ouvrir;[sound:vocab-french-ouvrir.mp3];abrir
orange (color) - french;"<img src=""vocab-orange (color).jpg"">";orange;[sound:vocab-french-orange.mp3];naranja
orange (fruit) - french;"<img src=""vocab-orange (fruit).jpg"">";orange;[sound:vocab-french-orange.mp3];naranja
outside - french;"<img src=""vocab-outside.jpg"">";extérieur;[sound:vocab-french-extérieur.mp3];afuera
page - french;"<img src=""vocab-page.jpg"">";page;[sound:vocab-french-page.mp3];página
pain - french;"<img src=""vocab-pain.jpg"">";douleur;[sound:vocab-french-douleur.mp3];dolor
paint - french;"<img src=""vocab-paint.jpg"">";peinturer;[sound:vocab-french-peinturer.mp3];pintar
pants - french;"<img src=""vocab-pants.jpg"">";pantalon;[sound:vocab-french-pantalon.mp3];pantalones
